A-Party Number,Total Calls,Unique B-Parties,Average Call Duration,Call Success Rate,Spam
990071398368,965,462,5671,0.56,0
990041590595,685,481,4486,0.63,1
990000766028,276,448,8803,0.83,0
990061206823,1516,553,5945,0.71,0
990022606014,1247,1110,8703,0.44,1
990036140993,1459,509,2065,0.77,0
990068360380,424,817,7108,0.89,0
990042164971,859,478,6911,0.58,0
990025684303,1225,131,3176,0.81,0
990032887263,1743,1266,9745,0.45,1
990057770940,790,173,3450,0.71,0
990050298434,1468,338,2283,0.85,0
990046200847,742,536,4772,0.66,0
990067426306,209,276,5717,0.85,0
990096362084,634,406,6592,0.81,0
990059328952,1413,500,3991,0.75,1
990013789873,1033,528,2515,0.85,0
990079549092,1145,345,4738,0.88,0
990012001650,655,516,6649,0.66,0
990076621921,1024,184,4119,0.53,0
990036596370,1022,182,6774,0.69,0
990004356038,412,483,6307,0.87,1
990072929168,209,664,2907,0.76,0
990013648633,646,418,3181,0.72,0
990071734584,877,850,4941,0.85,0
990061837951,789,513,4845,0.75,0
990073962434,534,477,7050,0.64,0
990076223873,661,602,5891,0.74,0
990053537557,690,473,804,0.63,0
990006799463,1304,523,2180,0.59,0
990033598658,1751,630,5245,0.67,0
990025432770,789,658,3180,0.89,0
990056538406,1518,573,2893,0.82,0
990007485216,2214,1154,9261,0.36,1
990049808404,1103,673,1362,0.74,0
990080200387,2115,405,3307,0.58,0
990097842226,1354,559,7601,0.58,0
990064546793,888,1042,5688,0.79,0
990031037107,861,666,4858,0.58,0
990095090290,612,723,3090,0.72,0
990037111691,335,496,2666,0.56,0
990079853816,1400,566,2293,0.89,0
990066023053,959,660,6738,0.66,0
990050375863,373,770,4990,0.74,0
990020798620,699,390,5016,0.89,0
990068351964,1761,1229,8390,0.43,1
990028405661,1444,186,4445,0.68,0
990071432368,1263,259,4616,0.6,0
990056441504,830,984,3631,0.59,0
990055012704,1126,914,3831,0.65,0
990080636852,1565,837,8232,0.37,1
990032928063,934,541,1524,0.84,1
990078638189,1464,720,5465,0.84,0
990063238381,758,439,7869,0.7,0
990027022498,1047,801,6632,0.68,0
990082693500,215,633,5704,0.79,0
990014920799,938,246,5499,0.66,0
990098201383,756,484,4058,0.67,1
990030798962,1377,659,5929,0.88,0
990036663942,2199,1208,8313,0.33,1
990085066382,1081,499,2862,0.75,0
