A-Party Number,Total Calls,Unique B-Parties,Average Call Duration,Call Success Rate,Spam
990042222399,949,662,6591,0.84,0
990007441118,722,579,6331,0.8,0
990030120630,886,451,6308,0.63,0
990049472546,562,433,7293,0.71,0
990074801684,632,489,6147,0.85,0
990038096024,712,569,6927,0.87,0
990004621677,780,877,7514,0.86,0
990096978707,1437,674,4424,0.46,1
990067774307,620,606,6281,0.81,0
990075417940,750,587,7078,0.83,0
990028632865,1062,664,6174,0.84,0
990081255482,1046,776,3295,0.48,1
990091724812,1011,550,7105,0.88,0
990006936050,857,679,7931,0.81,0
990080454721,536,463,7148,0.78,0
990071852826,565,514,7637,0.75,0
990018570243,875,669,8415,0.86,0
990082168083,741,708,5115,0.83,0
990013517613,677,556,7007,0.81,0
990093534036,724,638,8110,0.79,0
990030761837,628,648,6349,0.79,0
990073412192,994,585,7715,0.78,0
990065184297,590,870,7243,0.76,0
990042333227,1141,674,6289,0.82,0
990045788218,703,741,7596,0.7,0
990005997813,764,565,6947,0.8,0
990088164304,547,530,8176,0.91,0
990090009310,1176,702,6777,0.76,0
990096201245,994,618,4254,0.34,1
990022140400,924,728,5378,0.84,0
990058260127,887,933,7007,0.79,0
990040642121,865,481,5412,0.88,0
990006777237,688,791,7750,0.76,0
990080739429,1131,518,7849,0.75,0
990060143171,696,744,7664,0.89,0
990063040357,1100,577,7076,0.83,0
990013638920,801,764,7360,0.82,0
990032495622,748,538,6143,0.73,0
990013136750,825,490,7224,0.76,0
990099424368,1202,281,8443,0.73,0
990045751249,939,742,6731,0.74,0
990035170731,641,764,8463,0.84,0
990022321668,1059,795,8662,0.91,0
990087374828,805,671,8029,0.85,0
990077287632,660,489,6683,0.67,0
990077356988,565,694,5444,0.83,0
990085895596,902,473,6905,0.8,0
990039918879,545,612,6082,0.76,0
990086527147,697,884,6106,0.84,0
990009614880,890,741,9844,0.84,0
990004265004,988,488,7205,0.86,0
990044190767,1214,602,6450,0.84,0
990024313287,883,819,8214,0.82,0
990044782253,650,656,7456,0.94,0
990096577428,547,823,8055,0.68,0
990049193461,677,480,6808,0.74,0
990045764051,956,692,8076,0.84,0
990013951511,1274,866,3071,0.46,1
990060998468,658,487,7579,0.88,0
990097133178,891,802,8139,0.73,0
990053675132,813,879,6721,0.74,0
990015898108,373,387,6791,0.66,0
990056674488,704,828,5849,0.76,0
990081699025,670,916,7287,0.81,0
990089584825,476,327,5565,0.83,0
990034980864,1053,650,6516,0.88,0
990017495173,830,354,7195,0.71,0
990061062564,285,572,6163,0.78,0
990078661864,838,363,7398,0.9,0
990023890200,717,613,6508,0.77,0
990089115530,655,532,7441,0.85,0
990054383478,1112,615,7795,0.81,0
990020308061,747,714,6472,0.8,0
990044902653,687,488,6634,0.78,0
990088359095,1288,739,1958,0.42,1
990061424156,1099,999,4993,0.81,0
990088138894,558,852,6354,0.9,0
990080885224,848,514,6425,0.83,0
990007046713,441,708,4425,0.75,0
990057728356,582,403,7168,0.86,0
990094261074,734,757,8097,0.7,0
990071517589,713,429,6147,0.78,0
990046713932,1208,284,7261,0.86,0
990099651221,1080,679,5889,0.8,0
990053869887,923,525,6542,0.84,0
990068872056,994,610,3031,0.4,1
990000647290,997,616,8166,0.82,0
990055375242,815,677,6682,0.78,0
990018938821,411,786,6759,0.74,0
990049207358,659,469,7522,0.77,0
990021796061,810,536,5689,0.78,0
990020023608,873,580,8576,0.72,0
990072495324,935,433,6296,0.85,0
990080435966,798,660,6993,0.77,0
990082429679,705,426,7494,0.84,0
990005722873,1207,739,3519,0.43,1
990031138373,1444,563,7321,0.84,0
990058022301,1028,455,6506,0.89,0
990085042257,1112,788,7323,0.75,0
990040528541,578,503,4745,0.91,0
990005618503,895,488,6416,0.8,0
990033045942,1035,522,7019,0.79,0
990035344950,667,718,9262,0.85,0
990085702149,137,597,7954,0.73,0
990038507588,655,637,6773,0.75,0
990082398335,994,615,7371,0.77,0
990004734593,822,745,8794,0.86,0
990095312809,913,747,5993,0.79,0
990012600116,623,612,7445,0.79,0
990014310037,653,258,7916,0.78,0
990024433195,861,455,7338,0.77,0
990057081176,1275,951,7786,0.92,0
990037427588,837,599,5976,0.87,0
990010977745,1069,600,6159,0.74,0
990061378964,656,615,7910,0.81,0
990025245144,514,392,9010,0.89,0
990014313073,896,749,7406,0.86,0
